colour	x	y	showSelectedlegendcolour	PANEL	fill
#C49A00	75.5708536585366	1.87	Europe & Central Asia	3	#C49A00
#00C094	77.4512195121951	2.9	Middle East & North Africa	3	#00C094
#A58AFF	59.8315609756098	3.512	South Asia	3	#A58AFF
#00C094	71.2347073170732	5.595	Middle East & North Africa	3	#00C094
#00C094	68.1544634146342	3.21	Middle East & North Africa	3	#00C094
#C49A00	77.9843902439024	2.08	Europe & Central Asia	3	#C49A00
#C49A00	78.0143902439025	1.18	Europe & Central Asia	3	#C49A00
#C49A00	76.4373414634146	1.43	Europe & Central Asia	3	#C49A00
#53B400	70.2634634146341	2.744	Latin America & Caribbean	3	#53B400
#00C094	71.4124878048781	4.695	Middle East & North Africa	3	#00C094
#F8766D	79.5363414634147	1.422	East Asia & Pacific	3	#F8766D
#FB61D7	56.1492195121951	5.251	Sub-Saharan Africa	3	#FB61D7
#C49A00	65.790243902439	3.31	Europe & Central Asia	3	#C49A00
#F8766D	56.0652682926829	4.903	East Asia & Pacific	3	#F8766D
#F8766D	59.4390243902439	4.5	East Asia & Pacific	3	#F8766D
#FB61D7	56.7098048780488	5.246	Sub-Saharan Africa	3	#FB61D7
#F8766D	66.2719024390244	2.306	East Asia & Pacific	3	#F8766D
#F8766D	73.3943902439024	1.65	East Asia & Pacific	3	#F8766D
#C49A00	68.5451219512195	2.7014	Europe & Central Asia	3	#C49A00
#00C094	73.2942195121951	2.525	Middle East & North Africa	3	#00C094
#C49A00	64.919512195122	2.26	Europe & Central Asia	3	#C49A00
#F8766D	58.1821463414634	5.4	East Asia & Pacific	3	#F8766D
#00C094	69.8400731707317	2.868	Middle East & North Africa	3	#00C094
#53B400	71.4341463414634	2.9	Latin America & Caribbean	3	#53B400
#A58AFF	69.2288536585366	2.245	South Asia	3	#A58AFF
#FB61D7	42.247	6.149	Sub-Saharan Africa	3	#FB61D7
#FB61D7	56.9378780487805	4.548	Sub-Saharan Africa	3	#FB61D7
#C49A00	69.0063414634147	1.55	Europe & Central Asia	3	#C49A00
#C49A00	76.5121951219512	1.68	Europe & Central Asia	3	#C49A00
#C49A00	66.3912195121951	1.25	Europe & Central Asia	3	#C49A00
#00C094	70.6531219512195	3.575	Middle East & North Africa	3	#00C094
#00C094	66.6133170731707	3.286	Middle East & North Africa	3	#00C094
#C49A00	66.7158780487805	1.882	Europe & Central Asia	3	#C49A00
#C49A00	75.8041219512195	1.815	Europe & Central Asia	3	#C49A00
#FB61D7	54.8547317073171	5.999	Sub-Saharan Africa	3	#FB61D7
#C49A00	72.087512195122	1.937	Europe & Central Asia	3	#C49A00
#FB61D7	45.697512195122	6.955	Sub-Saharan Africa	3	#FB61D7
#F8766D	60.0783414634146	2.852	East Asia & Pacific	3	#F8766D
#F8766D	61.2615609756098	2.808	East Asia & Pacific	3	#F8766D
#F8766D	77.3910975609756	1.242	East Asia & Pacific	3	#F8766D
#FB61D7	56.6527073170732	5.597	Sub-Saharan Africa	3	#FB61D7
#00C094	77.1439024390244	1.83	Middle East & North Africa	3	#00C094
#FB61D7	70.3258536585366	2.14	Sub-Saharan Africa	3	#FB61D7
#A58AFF	65.2537317073171	4.345	South Asia	3	#A58AFF
#FB61D7	46.6426829268293	6.325	Sub-Saharan Africa	3	#FB61D7
#53B400	72.7376341463415	2.906	Latin America & Caribbean	3	#53B400
#F8766D	71.1634390243903	3.301	East Asia & Pacific	3	#F8766D
#FB61D7	45.4109512195122	5.993	Sub-Saharan Africa	3	#FB61D7
#FB61D7	60.3607317073171	4.59	Sub-Saharan Africa	3	#FB61D7
#F8766D	72.009756097561	2.59	East Asia & Pacific	3	#F8766D
#FB61D7	44.477512195122	7.706	Sub-Saharan Africa	3	#FB61D7
#FB61D7	45.1157073170732	6.099	Sub-Saharan Africa	3	#FB61D7
#53B400	67.3041951219512	4.055	Latin America & Caribbean	3	#53B400
#C49A00	77.4046341463415	1.53	Europe & Central Asia	3	#C49A00
#C49A00	77.7365853658537	1.87	Europe & Central Asia	3	#C49A00
#A58AFF	57.4686341463415	4.701	South Asia	3	#A58AFF
#F8766D	76.7341463414634	1.99	East Asia & Pacific	3	#F8766D
#00C094	73.0430243902439	5.361	Middle East & North Africa	3	#00C094
#53B400	73.2832195121951	2.812	Latin America & Caribbean	3	#53B400
#53B400	67.9847804878049	3.317	Latin America & Caribbean	3	#53B400
#F8766D	70.867512195122	2.805	East Asia & Pacific	3	#F8766D
#F8766D	57.3519512195122	4.671	East Asia & Pacific	3	#F8766D
#F8766D	66.0185365853659	4.006	East Asia & Pacific	3	#F8766D
#A58AFF	62.0457317073171	5.359	South Asia	3	#A58AFF
#C49A00	71.8926829268293	1.61	Europe & Central Asia	3	#C49A00
#53B400	74.2885853658537	2.087	Latin America & Caribbean	3	#53B400
#00C094	69.6675609756098	6.244	Middle East & North Africa	3	#00C094
#C49A00	75.3121951219512	1.38	Europe & Central Asia	3	#C49A00
#F8766D	71.8446341463415	2.8605	East Asia & Pacific	3	#F8766D
#53B400	68.8802195121951	4.09	Latin America & Caribbean	3	#53B400
#00C094	75.2827317073171	3.642	Middle East & North Africa	3	#00C094
#C49A00	69.4560975609756	1.343	Europe & Central Asia	3	#C49A00
#C49A00	65.2212195121951	1.34	Europe & Central Asia	3	#C49A00
#FB61D7	30.4731707317073	6.068	Sub-Saharan Africa	3	#FB61D7
#00C094	70.4726829268293	4.989	Middle East & North Africa	3	#00C094
#F8766D	59.6959512195122	5.197	East Asia & Pacific	3	#F8766D
#FB61D7	54.2909756097561	5.668	Sub-Saharan Africa	3	#FB61D7
#C49A00	78.7404878048781	1.73	Europe & Central Asia	3	#C49A00
#F8766D	76.3951219512195	1.71	East Asia & Pacific	3	#F8766D
#C49A00	73.9585365853659	1.29	Europe & Central Asia	3	#C49A00
#C49A00	72.2536585365854	1.52	Europe & Central Asia	3	#C49A00
#FB61D7	37.2087073170732	5.86	Sub-Saharan Africa	3	#FB61D7
#FB61D7	54.3630731707317	6.059	Sub-Saharan Africa	3	#FB61D7
#FB61D7	44.7121707317073	6.486	Sub-Saharan Africa	3	#FB61D7
#53B400	67.8058536585366	2.684	Latin America & Caribbean	3	#53B400
#FB61D7	61.661243902439	4.977	Sub-Saharan Africa	3	#FB61D7
#53B400	68.9138048780488	3.529	Latin America & Caribbean	3	#53B400
#00C094	72.8355365853659	4.342	Middle East & North Africa	3	#00C094
#FB61D7	56.3937317073171	4.867	Sub-Saharan Africa	3	#FB61D7
#FB61D7	49.8497317073171	6.636	Sub-Saharan Africa	3	#FB61D7
#FB61D7	54.0500975609756	5.686	Sub-Saharan Africa	3	#FB61D7
#F8766D	72.2611707317073	1.862	East Asia & Pacific	3	#F8766D
#C49A00	62.3746097560976	4.581	Europe & Central Asia	3	#C49A00
#F8766D	51.2641707317073	6.384	East Asia & Pacific	3	#F8766D
#C49A00	63.0307317073171	3.512	Europe & Central Asia	3	#C49A00
#00C094	71.3536585365854	2.67	Middle East & North Africa	3	#00C094
#F8766D	70.1192682926829	4.447	East Asia & Pacific	3	#F8766D
#C49A00	66.0730975609756	2.734	Europe & Central Asia	3	#C49A00
#53B400	68.9970975609756	1.87	Latin America & Caribbean	3	#53B400
#FB61D7	49.573756097561	5.883	Sub-Saharan Africa	3	#FB61D7
#C49A00	67.1170731707317	1.4	Europe & Central Asia	3	#C49A00
#FB61D7	44.8652926829268	7.018	Sub-Saharan Africa	3	#FB61D7
#00B6EB	75.6219512195122	1.978	North America	3	#00B6EB
#53B400	73.4762682926829	2.6	Latin America & Caribbean	3	#53B400
#C49A00	66.3176097560976	3.596	Europe & Central Asia	3	#C49A00
#53B400	70.0184146341464	2.703	Latin America & Caribbean	3	#53B400
#53B400	72.169512195122	3.082	Latin America & Caribbean	3	#53B400
#53B400	76.2629024390244	2.82	Latin America & Caribbean	3	#53B400
#F8766D	69.4316829268293	2.666	East Asia & Pacific	3	#F8766D
#F8766D	65.4593414634146	4.716	East Asia & Pacific	3	#F8766D
#F8766D	67.5150243902439	4.688	East Asia & Pacific	3	#F8766D
#00C094	57.3789024390244	7.622	Middle East & North Africa	3	#00C094
#FB61D7	59.8874146341464	3.11	Sub-Saharan Africa	3	#FB61D7
#FB61D7	43.5152682926829	6.23	Sub-Saharan Africa	3	#FB61D7
#FB61D7	53.0983902439024	4.369	Sub-Saharan Africa	3	#FB61D7
